0	['100', '126', '142', '16', '184', '200', '30', '5', '54', '63', '64']
1	['101', '138', '139', '150', '172', '176', '177', '179', '18', '181', '185', '186', '189', '190', '191', '193', '194', '195', '198', '60', '7', '82', '87']
2	['102', '106', '117', '137', '17', '190', '35', '39', '43', '88']
3	['104', '112', '125', '132', '146', '147', '157', '162', '165', '171', '199', '44', '45', '51', '59', '65']
4	['105', '107', '119', '149', '21', '48', '53', '69', '85', '96']
5	['10', '108', '109', '114', '134', '135', '163', '182', '28', '31', '42', '84']
6	['114', '115', '12', '13', '136', '158', '161', '33', '76', '8', '89', '99']
7	['1', '103', '11', '110', '111', '120', '121', '122', '164', '178', '192', '24', '26', '32', '38', '40', '46', '49', '50', '57', '6', '62', '68', '73', '81', '9', '90', '92']
8	['123', '14', '140', '144', '145', '15', '152', '159', '165', '166', '167', '168', '169', '179', '180', '199', '3', '77']
9	['113', '116', '118', '124', '128', '131', '141', '143', '148', '151', '155', '174', '187', '192', '196', '197', '20', '27', '34', '4', '41', '47', '52', '55', '56', '58', '61', '66', '72', '74', '75', '78', '79', '80', '87', '91']
10	['127', '197', '29', '37', '83', '95', '96']
11	['129', '133', '160', '200', '64', '71', '86', '93']
12	['130', '153', '154', '156', '170', '173', '175', '178', '182', '183', '184', '188', '19', '2', '22', '23', '25', '36', '67', '70', '94', '97', '98']
