0	['100', '126', '16', '170', '26', '39', '5', '95']
1	['101', '112', '125', '147', '162', '172', '45', '88']
2	['102', '104', '106', '117', '137', '190', '199', '35', '43']
3	['113', '127', '29', '51', '96']
4	['1', '103', '110', '111', '114', '115', '121', '122', '124', '13', '136', '15', '156', '158', '159', '161', '164', '169', '173', '188', '19', '192', '194', '21', '24', '30', '32', '33', '38', '40', '46', '49', '50', '53', '57', '62', '68', '69', '7', '73', '79', '8', '81', '89', '9', '90', '92', '99']
5	['132', '146', '157', '165', '171', '197', '44', '65']
6	['129', '138', '139', '150', '176', '177', '178', '18', '185', '186', '189', '190', '191', '193', '195', '198', '60', '82']
7	['10', '105', '107', '108', '109', '114', '116', '118', '119', '12', '121', '123', '128', '129', '130', '131', '133', '134', '135', '14', '140', '141', '142', '143', '144', '145', '148', '149', '151', '152', '153', '154', '155', '156', '158', '159', '160', '163', '166', '167', '168', '169', '17', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '192', '196', '197', '199', '2', '20', '200', '22', '23', '25', '27', '28', '31', '34', '36', '37', '4', '40', '41', '42', '47', '52', '54', '55', '56', '58', '59', '61', '63', '64', '66', '67', '69', '70', '71', '72', '74', '75', '76', '77', '78', '79', '80', '83', '84', '85', '86', '87', '91', '93', '94', '97', '98', '99']
