0	['100', '101', '106', '114', '12', '122', '127', '144', '146', '149', '153', '154', '16', '163', '164', '172', '188', '197', '22', '23', '29', '5', '78', '96']
1	['103', '109', '130', '141', '43', '84']
2	['104', '135', '157', '182', '183', '191', '2', '25', '39', '42', '51', '98']
3	['116', '124', '126', '128', '139', '152', '162', '165', '19', '36', '70']
4	['102', '105', '108', '11', '110', '111', '113', '115', '117', '118', '119', '120', '121', '123', '129', '131', '132', '133', '134', '136', '137', '138', '139', '142', '145', '147', '148', '15', '150', '155', '156', '158', '159', '160', '161', '166', '167', '168', '170', '171', '173', '174', '175', '176', '177', '178', '179', '180', '181', '184', '185', '186', '187', '189', '190', '192', '193', '194', '195', '196', '198', '199', '20', '200', '21', '24', '27', '28', '3', '32', '35', '44', '47', '52', '54', '55', '56', '57', '60', '65', '67', '7', '71', '73', '74', '75', '79', '8', '80', '81', '85', '86', '90', '91', '92', '94', '95', '97', '99']
5	['129', '140', '169', '59', '76']
6	['173', '179', '182', '26', '61', '62']
7	['169', '17', '34', '93']
8	['131', '169', '58']
