0	['100', '104', '126', '16', '39', '5']
1	['105', '107', '119', '149', '21', '37', '48', '53', '59', '69', '85']
2	['101', '108', '112', '125', '129', '132', '133', '138', '139', '141', '146', '147', '148', '150', '157', '159', '160', '162', '165', '168', '171', '172', '174', '176', '177', '18', '181', '185', '186', '189', '190', '191', '192', '193', '195', '198', '199', '20', '200', '34', '44', '45', '51', '60', '64', '65', '71', '82', '86', '93', '95']
3	['10', '102', '106', '109', '114', '117', '12', '130', '134', '135', '137', '151', '153', '154', '156', '163', '17', '170', '173', '175', '178', '182', '183', '184', '19', '190', '2', '22', '23', '25', '26', '28', '31', '35', '36', '38', '41', '42', '43', '67', '70', '80', '84', '88', '94', '97', '98']
4	['1', '103', '11', '110', '111', '115', '120', '121', '122', '124', '13', '136', '158', '161', '164', '188', '192', '194', '24', '32', '33', '40', '46', '50', '57', '6', '62', '68', '7', '73', '8', '81', '89', '90', '92', '99']
5	['113', '116', '118', '128', '131', '138', '14', '140', '141', '142', '143', '144', '145', '148', '150', '151', '152', '155', '159', '166', '167', '168', '169', '174', '176', '179', '180', '187', '192', '193', '196', '197', '20', '200', '27', '3', '34', '4', '47', '52', '55', '56', '58', '61', '66', '72', '74', '75', '76', '77', '78', '79', '82', '87', '91']
6	['123', '184', '54', '63']
7	['127', '29', '83', '96']
