0	['100', '126', '16', '170', '26', '39', '5', '95']
1	['101', '112', '125', '147', '162', '172', '45', '88']
2	['102', '104', '106', '117', '137', '190', '35', '43']
3	['105', '107', '108', '116', '118', '119', '121', '128', '131', '138', '14', '140', '141', '142', '143', '144', '145', '148', '151', '152', '155', '156', '158', '159', '163', '166', '167', '168', '169', '174', '176', '179', '180', '187', '192', '196', '197', '20', '27', '3', '34', '37', '4', '40', '41', '47', '52', '55', '58', '59', '61', '66', '69', '72', '74', '75', '76', '77', '78', '79', '85', '87', '91', '99']
4	['113', '127', '29', '51', '96']
5	['132', '146', '157', '165', '171', '197', '199', '44', '65']
6	['138', '139', '150', '176', '177', '18', '185', '186', '189', '190', '191', '193', '195', '198', '42', '60', '82', '96']
7	['10', '101', '109', '114', '12', '123', '129', '130', '133', '134', '135', '143', '149', '153', '154', '156', '160', '163', '17', '175', '177', '178', '181', '182', '183', '184', '186', '199', '2', '200', '22', '23', '25', '28', '31', '36', '41', '42', '54', '63', '64', '67', '70', '71', '80', '83', '84', '86', '93', '94', '97', '98']
8	['1', '103', '110', '111', '114', '115', '121', '122', '124', '13', '136', '15', '156', '158', '159', '161', '164', '169', '173', '188', '19', '192', '194', '21', '24', '26', '30', '32', '33', '38', '40', '46', '49', '50', '53', '57', '62', '68', '69', '7', '73', '79', '8', '81', '89', '9', '90', '92', '99']
